scope_date,scope_timezone,user_id,display_name,discord_id,discord_username,discord_global_name,is_bot,hands,vpip_pct,vpip_num,vpip_den,pfr_pct,pfr_num,pfr_den,three_bet_pct,three_bet_num,three_bet_den,four_bet_pct,four_bet_num,four_bet_den,fold_to_three_bet_pct,fold_to_three_bet_num,fold_to_three_bet_den,fold_to_four_bet_pct,fold_to_four_bet_num,fold_to_four_bet_den,cbet_flop_pct,cbet_flop_num,cbet_flop_den,cbet_turn_pct,cbet_turn_num,cbet_turn_den,cbet_river_pct,cbet_river_num,cbet_river_den,fold_to_cbet_flop_pct,fold_to_cbet_flop_num,fold_to_cbet_flop_den,fold_to_cbet_turn_pct,fold_to_cbet_turn_num,fold_to_cbet_turn_den,fold_to_cbet_river_pct,fold_to_cbet_river_num,fold_to_cbet_river_den,aggression,aggression_num,aggression_den,aggression_freq_pct,aggression_freq_num,aggression_freq_den,wtsd_pct,wtsd_num,wtsd_den,wsd_pct,wsd_num,wsd_den,wwsf_pct,wwsf_num,wwsf_den,bb_per_100,bb_per_100_num_cbb,bb_per_100_den_hands,net_cbb,showdown_cbb,non_showdown_cbb
,,2f8cb9d9-0bd8-450a-98b7-23cfe9864aed,Ramune,368726471486996480,30_150_150,Ramune,false,645,21.6,136,629,16.7,105,629,12.4,20,161,5.9,2,34,61.9,13,21,0,0,1,50,23,46,58.3,7,12,0,0,3,0,0,5,100,2,2,0,0,0,3.39,61,18,33.2,61,184,32.1,27,84,51.9,14,27,52.4,44,84,16.31,10520,645,10520,19310,-8790
,,3f54ee51-69b1-4678-8ba5-516769dc6286,SEIHO,1477976976898658461,seiho.t,SEIHO,false,203,25.8,50,194,20.6,40,194,9.3,7,75,0,0,16,62.5,5,8,33.3,1,3,81.8,9,11,42.9,3,7,100,1,1,0,0,1,0,0,0,0,0,0,3.13,25,8,39.7,25,63,37.5,9,24,44.4,4,9,54.2,13,24,-100.72,-20447,203,-20447,-16859,-3588
,,ecde228c-42bf-4614-9645-006950b2853a,SHINJI1223,858704896487194634,shinji1223,SHINJI1223,false,452,27,120,444,23.6,105,444,19.1,26,136,10.7,3,28,55.6,10,18,50,3,6,70.5,31,44,35.3,6,17,0,0,4,25,1,4,0,0,1,0,0,0,1.73,57,33,34.1,57,167,44.8,30,67,60,18,30,59.7,40,67,60.46,27326,452,27326,28992,-1666
,,f23dbb5d-bbd6-42df-bff6-974122e7e71d,Sabosuke,560713534787289088,swanaka,Sabosuke,false,562,22.7,126,554,19.3,107,554,14.2,19,134,18.4,7,38,67.7,21,31,100,1,1,44.8,13,29,16.7,1,6,0,0,0,0,0,3,100,1,1,0,0,0,2.33,35,15,30.2,35,116,29.4,15,51,46.7,7,15,43.1,22,51,-14.81,-8325,562,-8325,-5249,-3076
,,dc6da8ae-2813-4d48-87c7-b7fa103edeb3,Shingo2,1251514595114356777,kmauma,Shingo2,false,19,21.1,4,19,5.3,1,19,0,0,11,0,0,3,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,100,1,1,0,0,0,0,0,0,1.00,1,1,14.3,1,7,33.3,1,3,0,0,1,33.3,1,3,-31.21,-593,19,-593,-300,-293
,,ef2ad93c-6fec-44fa-af2d-ad15c5599445,TNT,613721174131605520,__tnt__,TNT,false,1054,40.9,418,1021,30.6,312,1021,25.8,85,329,7.1,6,84,47.4,27,57,75,18,24,66.7,66,99,30.6,11,36,40,2,5,44.4,8,18,100,1,1,0,0,0,1.89,151,80,26.4,151,571,42.7,100,234,58,58,100,45.3,106,234,-5.03,-5299,1054,-5299,28115,-33414
,,04da5f0e-a9a5-4c41-834a-bfeca9c19a80,Takatobi,338687582844092416,doyaface,doyaface,false,506,23.5,117,497,19.9,99,497,15.8,21,133,8.3,3,36,72.7,16,22,50,1,2,52.6,20,38,46.2,6,13,50,1,2,0,0,1,0,0,0,0,0,0,1.27,38,30,23.9,38,159,45,27,60,51.9,14,27,45,27,60,7.29,3689,506,3689,5010,-1321
,,61cfb52f-9c6d-4c0b-a518-2e09975ee7b7,alfort,1216716712356085770,alfort0416,alfort,false,257,25.1,63,251,20.3,51,251,19.2,15,78,21.1,4,19,22.2,2,9,50,1,2,59.1,13,22,25,1,4,0,0,1,25,1,4,0,0,1,0,0,0,3.08,37,12,38.1,37,97,47.5,19,40,52.6,10,19,60,24,40,-50.23,-12909,257,-12909,-19659,6750
,,37112653-6b38-404b-9e45-da13caf614b1,arash!,1077989900768522360,arashi.aa,arash!,false,880,27.8,240,864,22,190,864,11.7,30,256,18.5,15,81,68.1,32,47,60,3,5,58.1,36,62,48,12,25,66.7,4,6,72.7,8,11,0,0,1,0,0,0,2.07,87,42,30.4,87,286,39.5,47,119,46.8,22,47,42.9,51,119,20.74,18252,880,18252,28237,-9985
,,fb264447-b201-4c85-98e5-35fa4d71eb3b,hinano,503052617820405762,guretohanta9006,hinano,false,414,28.1,114,406,22.2,90,406,22.8,26,114,6.7,2,30,74.1,20,27,80,4,5,68.8,22,32,20,3,15,50,1,2,25,2,8,0,0,2,0,0,0,3.65,62,17,41.1,62,151,41.3,26,63,61.5,16,26,52.4,33,63,45.83,18972,414,18972,16717,2255
,,5c5ab738-0853-445d-8cfa-e5489e42a203,jin,1477583390529159210,katatsuyo,jin,false,627,31.9,197,618,23.9,148,618,20.2,34,168,11.9,8,67,22,9,41,33.3,3,9,64.9,24,37,58.3,7,12,50,3,6,23.1,3,13,0,0,3,100,1,1,2.24,121,54,41.2,121,294,40,46,115,41.3,19,46,53.9,62,115,-2.06,-1292,627,-1292,-16443,15151
,,022c0910-bc71-47f0-a45f-98058d912336,konasho,829862383589654548,konasho,konasho,false,1269,21.9,272,1243,17.5,217,1243,11.2,52,465,11.1,10,90,76.7,46,60,87.5,7,8,61.9,39,63,57.9,11,19,28.6,2,7,42.9,3,7,100,1,1,0,0,0,2.10,84,40,29.2,84,288,32,40,125,45,18,40,41.6,52,125,-2.49,-3154,1269,-3154,7689,-10843
,,32981e68-f5c1-466b-9a80-87611249450b,konishi,813348355253862430,konishi0205,konishi,false,600,20.4,119,584,15.4,90,584,12,19,158,15.4,4,26,41.2,7,17,50,2,4,62.1,18,29,30,3,10,0,0,1,28.6,2,7,0,0,3,0,0,3,1.38,47,34,28,47,168,48.5,32,66,37.5,12,32,50,33,66,-73.56,-44136,600,-44136,-38402,-5734
,,f04f997f-a921-42b1-bd33-9fec9c2173f4,mo’,880058676948385862,gichimeeeen,mo’,false,802,24.1,188,780,19.5,152,780,16.1,37,230,14,7,50,61.5,16,26,100,3,3,48.1,26,54,57.1,8,14,20,1,5,40,2,5,100,1,1,0,0,0,2.31,74,32,32.5,74,228,32.6,31,95,41.9,13,31,50.5,48,95,25.62,20547,802,20547,2127,18420
