player_id,プレイヤー,リーグ,収支,bb_size,ハンド数,参加節数,VPIP,VPIP_count,VPIP_hands,PFR,PFR_count,PFR_hands,3bet,3bet_count,3bet_hands,Fold to 3bet,Fold_to_3bet_count,Fold_to_3bet_hands,CB,CB_count,CB_hands,WTSD,WTSD_count,WTSD_hands,W$SD,W$SD_count,W$SD_hands
6weTfFBYpF,ほたるいか,C,+46.38,20,174,1,17.82,31,174,14.94,26,174,19.44,7,36,71.43,5,7,61.54,8,13,38.89,7,18,71.43,5,7
e0262b57-20d4-49bb-a960-0ee93ec77638,4kawa-しかわ,D,-29.94,20,166,1,16.27,27,166,14.46,24,166,7.46,5,67,50.0,3,6,23.08,3,13,56.25,9,16,44.44,4,9
slkZ1a7tQQ,cheep,D,-187.76,20,162,1,19.14,31,162,11.73,19,162,8.06,5,62,66.67,2,3,40.0,4,10,36.36,8,22,37.5,3,8
MqZu0oArm3,小鳥遊ひいろ,C,-48.03,20,143,1,18.88,27,143,16.78,24,143,12.24,6,49,83.33,5,6,75.0,6,8,41.67,5,12,60.0,3,5
30a66b4c-40ef-4b06-997f-d6699c7f4abf,reene,C,+186.1,20,137,1,38.69,53,137,35.04,48,137,31.91,15,47,36.36,4,11,75.0,15,20,28.57,8,28,50.0,4,8
d2a3a3c5-e0d1-4f39-8372-305f20f02378,POPOI,D,+70.2,20,135,1,48.15,65,135,29.63,40,135,8.62,5,58,45.45,5,11,50.0,8,16,51.11,23,45,60.87,14,23
135b22ff-1dfd-4d8f-8732-723fe34ca280,Hyatt,D,-201.71,20,132,1,21.97,29,132,15.15,20,132,3.92,2,51,40.0,2,5,50.0,4,8,27.78,5,18,40.0,2,5
iBhJbKViQ_,おかピー,C,+69.06,20,121,1,23.97,29,121,19.83,24,121,8.82,3,34,33.33,2,6,36.36,4,11,23.53,4,17,50.0,2,4
7543ff41-88d2-4d6c-9de3-c798e5082349,つっきー08,D,-33.03,20,117,1,25.64,30,117,16.24,19,117,4.76,2,42,50.0,2,4,50.0,4,8,35.0,7,20,14.29,1,7
nBDoNSY8n2,MIU,C,+15.44,20,113,1,20.35,23,113,15.04,17,113,13.89,5,36,0.0,0,2,71.43,5,7,40.0,6,15,33.33,2,6
f2a09996-336c-4f71-b325-d13722a8cbcc,mono,D,-103.75,20,112,1,30.36,34,112,16.07,18,112,8.33,4,48,50.0,1,2,77.78,7,9,68.0,17,25,47.06,8,17
b6192e91-f18a-43fc-bfbe-53570ea81fae,soshi,D,-9.81,20,112,1,23.21,26,112,16.07,18,112,8.11,3,37,100.0,3,3,66.67,4,6,42.86,6,14,16.67,1,6
841e92f5-7e20-412e-aa89-d222a7b5c668,ジル,D,-169.69,20,103,1,20.39,21,103,13.59,14,103,13.89,5,36,0.0,0,1,14.29,1,7,50.0,7,14,14.29,1,7
288b85dc-55f8-4787-b982-662a8fc5d192,TAKUMA,D,-60.01,20,99,1,29.29,29,99,20.2,20,99,21.05,8,38,25.0,1,4,75.0,3,4,6.67,1,15,0.0,0,1
70077ba2-470c-422e-98eb-96dcebac25e7,いっくん,D,-216.55,20,94,1,26.6,25,94,22.34,21,94,13.89,5,36,33.33,1,3,63.64,7,11,22.22,4,18,25.0,1,4
yHZrsG6l5j,sigma,C,-7.61,20,91,1,25.27,23,91,21.98,20,91,11.11,4,36,100.0,3,3,100.0,6,6,33.33,3,9,66.67,2,3
e936aa2d-575c-4d9a-8256-51088cf65ade,Setsuna004,D,+12.22,20,89,1,25.84,23,89,20.22,18,89,11.36,5,44,60.0,3,5,50.0,4,8,42.86,6,14,50.0,3,6
545c5473-094c-423f-b1bd-4dbcb8640e1a,MUU,D,+14.82,20,88,1,19.32,17,88,14.77,13,88,8.0,2,25,66.67,2,3,60.0,3,5,20.0,2,10,50.0,1,2
